Customer Code,DaysPresent,Revenue
CAI0091,0,0
CAI0092,384,16719.86
CAI0094,350,1127.52
CAI0095,288,2024609.8
CAI0096,286,5783.76
CAI0098,0,0
CAJ0002,0,0
CAJ0003,4291,3247560.13
CAJ0014,4291,4629353.8
CAJ0039,4291,93721261.63
CAJ0053,4007,2188661.18
CAJ0055,3862,25462785.49
CAJ0059,3499,5948697.86
CAJ0061,1489,6727667.84
CAJ0086,2500,264075.91
CAJ0087,2417,18497881.55
CAJ0088,2363,17820.4
CAJ0090,2284,6028600.82
CAJ0092,2246,27115310.52
CAJ0096,0,0
CAJ0103,1197,107558.5
CAJ0104,1335,90098889.49
CAJ0106,1060,12950498.36
CAJ0107,1052,429853.17
CAJ0110,934,6053539.02
CAJ0111,845,1729990.53
CAJ0112,811,9689300.27
CAJ0114,799,0
CAJ0115,791,128534.81
CAJ0116,716,4099138.66
CAJ0119,716,2888609.64
CAJ0120,0,0
CAJ0122,695,1888129.21
CAJ0123,687,39971.14
CAJ0124,687,1767162.62
CAJ0125,647,2277152.04
CAJ0126,595,2848538.23
CAJ0129,561,0
CAJ0130,552,50532.68
CAJ0131,491,7438.24
CAJ0132,481,1419657.85
CAJ0133,449,57876.32
CAJ0134,432,1729346.55
CAJ0136,358,1130981.06
CAK0002,4291,13892717.46
CAK0008,4284,334232.4
CAK0009,4291,58384275.02
CAK0030,4291,149126.44
CAK0040,4291,410644.82
CAK0044,4291,5937343.64
CAK0046,4291,1530804.54
CAK0057,4230,3299722.15
CAK0063,3988,1600593.51
CAK0064,3894,3260513.17
CAK0073,2767,8016805.13
CAK0074,0,0
CAK0076,2669,441023.49
CAK0079,2432,2609872.5
CAK0080,2369,243704.68
CAK0081,2254,1158138.8
CAK0082,2248,0
CAK0085,0,0
CAK0086,1847,8001121.55
CAK0087,1708,6253897.4
CAK0091,1536,59212439.04
CAK0093,945,801466.87
CAK0108,1393,1799958.21
CAK0112,0,0
CAK0113,1206,65746419.44
CAK0117,1118,46477.18
CAK0119,0,0
CAK0121,992,6999908.32
CAK0122,0,0
CAK0123,955,6681593.34
CAK0124,934,8655.84
CAK0128,0,0
CAK0130,716,1467327.6
CAK0134,710,2755.06
CAK0135,0,0
CAK0136,716,1787216.98
CAK0138,707,13330757.99
CAK0142,0,0
CAK0143,0,0
CAK0144,608,3442.64
CAK0145,601,2833.94
CAK0146,573,33569858.63
CAK0147,556,5778311.91
CAK0148,478,3166872.82
CAK0149,0,0
CAK0150,454,768019.16
CAK0151,449,15571978.15
CAK0152,434,9296.82
CAK0154,337,536938.97
CAK0155,331,2781321
CAK0156,0,0
CAK0157,0,0
CAK0158,0,0
CAK0159,279,976433.8
CAK0160,279,1271865.15
CAK0161,262,2781078.82
CAK0162,0,0
CAK0163,227,1749.1
CAK0165,191,2828173.53
CAK0167,185,19700737.94
CAK0168,169,6280101.68
CAK0169,113,884963.86
CAL0007,4291,162446162.2
CAL0012,813,3129319.7
CAL0029,4291,76616166.68
CAL0055,4291,1222354.1
CAL0066,4291,8661316.78
CAL0069,4291,47684758.26
CAL0091,4227,3283351.81
